category,item,calories,fat_g,carb_g,fiber_g,protein_g,sugars_g,retailer
Hot Cappuccino,"Mocha Swirl Hot Cappuccino with Whole Milk, Medium",270,7,48,2,7,43,Dunkin Donuts
Hot Cappuccino,"Mocha Swirl Hot Cappuccino with Whole Milk, Small",180,4.5,32,1,5,29,Dunkin Donuts
Hot Chocolate,"Box of Joe, Hot Chocolate",220,7,40,2,2,32,Dunkin Donuts
Hot Chocolate,"Dunkaccino, Extra Large",540,23,80,1,4,58,Dunkin Donuts
Hot Chocolate,"Dunkaccino, Large",490,21,73,1,4,53,Dunkin Donuts
Hot Chocolate,"Dunkaccino, Medium",350,15,52,1,3,38,Dunkin Donuts
Hot Chocolate,"Dunkaccino, Small",240,10,36,0,2,26,Dunkin Donuts
Hot Chocolate,"French Vanilla Dunkaccino, Extra Large",570,26,86,1,4,62,Dunkin Donuts
Hot Chocolate,"French Vanilla Dunkaccino, Large",470,21,70,1,3,50,Dunkin Donuts
Hot Chocolate,"French Vanilla Dunkaccino, Medium",350,16,53,1,2,38,Dunkin Donuts
Hot Chocolate,"French Vanilla Dunkaccino, Small",230,10,35,0,2,25,Dunkin Donuts
Hot Chocolate,"Hot Chocolate with Espresso Shot, Large",400,12,71,3,3,55,Dunkin Donuts
Hot Chocolate,"Hot Chocolate with Espresso Shot, Medium",280,9,51,2,2,39,Dunkin Donuts
Hot Chocolate,"Hot Chocolate with Espresso Shot, Small",190,6,35,1,2,27,Dunkin Donuts
Hot Chocolate,"Mint Hot Chocolate, Extra Large",490,16,87,3,3,70,Dunkin Donuts
Hot Chocolate,"Mint Hot Chocolate, Large",400,13,72,3,3,57,Dunkin Donuts
Hot Chocolate,"Mint Hot Chocolate, Medium",300,10,52,2,2,42,Dunkin Donuts
Hot Chocolate,"Mint Hot Chocolate, Small",210,7,36,1,1,29,Dunkin Donuts
Hot Chocolate,"OREO Hot Chocolate, Extra Large",580,13,110,4,7,88,Dunkin Donuts
Hot Chocolate,"OREO Hot Chocolate, Large",460,10,88,3,6,70,Dunkin Donuts
Hot Chocolate,"OREO Hot Chocolate, Medium",350,8,66,2,4,53,Dunkin Donuts
